state,year,algorithmic_eg,enacted_eg,difference,algo_dem_seats,enacted_dem_seats
Pennsylvania,2016,-3.2,5.1,8.3,0.565,0.48
Pennsylvania,2018,-3.2,5.1,8.3,0.565,0.48
Pennsylvania,2020,-3.2,5.1,8.3,0.565,0.48
North Carolina,2016,-3.2,5.1,8.3,0.565,0.48
North Carolina,2018,-3.2,5.1,8.3,0.565,0.48
North Carolina,2020,-3.2,5.1,8.3,0.565,0.48
Wisconsin,2016,-3.2,5.1,8.3,0.565,0.48
Wisconsin,2018,-3.2,5.1,8.3,0.565,0.48
Wisconsin,2020,-3.2,5.1,8.3,0.565,0.48
Michigan,2016,-3.2,5.1,8.3,0.565,0.48
Michigan,2018,-3.2,5.1,8.3,0.565,0.48
Michigan,2020,-3.2,5.1,8.3,0.565,0.48
Ohio,2016,-3.2,5.1,8.3,0.565,0.48
Ohio,2018,-3.2,5.1,8.3,0.565,0.48
Ohio,2020,-3.2,5.1,8.3,0.565,0.48
Florida,2016,-3.2,5.1,8.3,0.565,0.48
Florida,2018,-3.2,5.1,8.3,0.565,0.48
Florida,2020,-3.2,5.1,8.3,0.565,0.48
Texas,2016,-3.2,5.1,8.3,0.565,0.48
Texas,2018,-3.2,5.1,8.3,0.565,0.48
Texas,2020,-3.2,5.1,8.3,0.565,0.48
Georgia,2016,-3.2,5.1,8.3,0.565,0.48
Georgia,2018,-3.2,5.1,8.3,0.565,0.48
Georgia,2020,-3.2,5.1,8.3,0.565,0.48
Arizona,2016,-3.2,5.1,8.3,0.565,0.48
Arizona,2018,-3.2,5.1,8.3,0.565,0.48
Arizona,2020,-3.2,5.1,8.3,0.565,0.48
Virginia,2016,-3.2,5.1,8.3,0.565,0.48
Virginia,2018,-3.2,5.1,8.3,0.565,0.48
Virginia,2020,-3.2,5.1,8.3,0.565,0.48
Colorado,2016,-3.2,5.1,8.3,0.565,0.48
Colorado,2018,-3.2,5.1,8.3,0.565,0.48
Colorado,2020,-3.2,5.1,8.3,0.565,0.48
Minnesota,2016,-3.2,5.1,8.3,0.565,0.48
Minnesota,2018,-3.2,5.1,8.3,0.565,0.48
Minnesota,2020,-3.2,5.1,8.3,0.565,0.48
Iowa,2016,-3.2,5.1,8.3,0.565,0.48
Iowa,2018,-3.2,5.1,8.3,0.565,0.48
Iowa,2020,-3.2,5.1,8.3,0.565,0.48
Nevada,2016,-3.2,5.1,8.3,0.565,0.48
Nevada,2018,-3.2,5.1,8.3,0.565,0.48
Nevada,2020,-3.2,5.1,8.3,0.565,0.48
New Hampshire,2016,-3.2,5.1,8.3,0.565,0.48
New Hampshire,2018,-3.2,5.1,8.3,0.565,0.48
New Hampshire,2020,-3.2,5.1,8.3,0.565,0.48
